	country	country_0
0	Afghanistan	
1	Albania	
2	Algeria	
3	American Samoa	
4	Andorra	
5	Angola	
6	Anguilla	
7	Antigua And Barbuda	
8	Argentina	
9	Armenia	
10	Aruba	
11	Australia	
12	Austria	
13	Azerbaijan	
14	Bahamas, The	
15	Bahrain	
16	Bangladesh	
17	Barbados	
18	Belarus	
19	Belgium	
20	Belize	
21	Benin	
22	Bermuda	
23	Bhutan	
24	Bolivia	
25	Bosnia And Herzegovina	
26	Botswana	
27	Brazil	
28	Brunei	
29	Bulgaria	
30	Burkina Faso	
31	Burundi	
32	Cabo Verde	
33	Cambodia	
34	Cameroon	
35	Canada	
36	Cayman Islands	
37	Central African Republic	
38	Chad	
39	Chile	
40	China	
41	Christmas Island	
42	Colombia	
43	Comoros	
44	Congo (Brazzaville)	
45	Congo (Kinshasa)	
46	Cook Islands	
47	Costa Rica	
48	Croatia	
49	Cuba	
50	Curaçao	
51	Cyprus	
52	Czechia	
53	Côte D’Ivoire	
54	Denmark	
55	Djibouti	
56	Dominica	
57	Dominican Republic	
58	Ecuador	
59	Egypt	
60	El Salvador	
61	Equatorial Guinea	
62	Eritrea	
63	Estonia	
64	Ethiopia	
65	Falkland Islands (Islas Malvinas)	
66	Faroe Islands	
67	Fiji	
68	Finland	
69	France	
70	French Guiana	
71	French Polynesia	
72	Gabon	
73	Gambia, The	
74	Gaza Strip	
75	Georgia	
76	Germany	
77	Ghana	
78	Gibraltar	
79	Greece	
80	Greenland	
81	Grenada	
82	Guadeloupe	
83	Guam	
84	Guatemala	
85	Guinea	
86	Guinea-Bissau	
87	Guyana	
88	Haiti	
89	Honduras	
90	Hong Kong	
91	Hungary	
92	Iceland	
93	India	
94	Indonesia	
95	Iran	
96	Iraq	
97	Ireland	
98	Isle Of Man	
99	Israel	
100	Italy	
101	Jamaica	
102	Japan	
103	Jersey	
104	Jordan	
105	Kazakhstan	
106	Kenya	
107	Kiribati	
108	Korea, North	
109	Korea, South	
110	Kosovo	
111	Kuwait	
112	Kyrgyzstan	
113	Laos	
114	Latvia	
115	Lebanon	
116	Lesotho	
117	Liberia	
118	Libya	
119	Liechtenstein	
120	Lithuania	
121	Luxembourg	
122	Macau	
123	Macedonia	
124	Madagascar	
125	Malawi	
126	Malaysia	
127	Maldives	
128	Mali	
129	Malta	
130	Marshall Islands	
131	Martinique	
132	Mauritania	
133	Mauritius	
134	Mayotte	
135	Mexico	
136	Micronesia, Federated States Of	
137	Moldova	
138	Monaco	
139	Mongolia	
140	Montenegro	
141	Morocco	
142	Mozambique	
143	Myanmar	
144	Namibia	
145	Nepal	
146	Netherlands	
147	New Caledonia	
148	New Zealand	
149	Nicaragua	
150	Niger	
151	Nigeria	
152	Niue	
153	Norfolk Island	
154	Northern Mariana Islands	
155	Norway	
156	Oman	
157	Pakistan	
158	Palau	
159	Panama	
160	Papua New Guinea	
161	Paraguay	
162	Peru	
163	Philippines	
164	Pitcairn Islands	
165	Poland	
166	Portugal	
167	Puerto Rico	
168	Qatar	
169	Reunion	
170	Romania	
171	Russia	
172	Rwanda	
173	Saint Barthelemy	
174	Saint Helena, Ascension, And Tristan Da Cunha	
175	Saint Kitts And Nevis	
176	Saint Lucia	
177	Saint Martin	
178	Saint Pierre And Miquelon	
179	Saint Vincent And The Grenadines	
180	Samoa	
181	San Marino	
182	Sao Tome And Principe	
183	Saudi Arabia	
184	Senegal	
185	Serbia	
186	Seychelles	
187	Sierra Leone	
188	Singapore	
189	Sint Maarten	
190	Slovakia	
191	Slovenia	
192	Solomon Islands	
193	Somalia	
194	South Africa	
195	South Georgia And South Sandwich Islands	
196	South Sudan	
197	Spain	
198	Sri Lanka	
199	Sudan	
200	Suriname	
201	Svalbard	
202	Swaziland	
203	Sweden	
204	Switzerland	
205	Syria	
206	Taiwan	
207	Tajikistan	
208	Tanzania	
209	Thailand	
210	Timor-Leste	
211	Togo	
212	Tonga	
213	Trinidad And Tobago	
214	Tunisia	
215	Turkey	
216	Turkmenistan	
217	Turks And Caicos Islands	
218	Tuvalu	
219	Uganda	
220	Ukraine	
221	United Arab Emirates	
222	United Kingdom	uk
223	United States	
224	Uruguay	
225	Uzbekistan	
226	Vanuatu	
227	Vatican City	
228	Venezuela	
229	Vietnam	
230	Virgin Islands, British	
231	Wallis And Futuna	
232	West Bank	
233	Western Sahara	
234	Yemen	
235	Zambia	
236	Zimbabwe	
